n_cells,model,n_individuals
25,cellregmap,50
25,cellregmap,100
25,cellregmap,150
25,cellregmap_assoc,50
25,cellregmap_assoc,100
25,cellregmap_assoc,150
50,cellregmap,50
50,cellregmap,100
50,cellregmap,150
50,cellregmap_assoc,50
50,cellregmap_assoc,100
50,cellregmap_assoc,150
75,cellregmap,50
75,cellregmap,100
75,cellregmap,150
75,cellregmap_assoc,50
75,cellregmap_assoc,100
75,cellregmap_assoc,150
100,cellregmap,50
100,cellregmap,100
100,cellregmap,150
100,cellregmap_assoc,50
100,cellregmap_assoc,100
100,cellregmap_assoc,150
125,cellregmap,50
125,cellregmap,100
125,cellregmap,150
125,cellregmap_assoc,50
125,cellregmap_assoc,100
125,cellregmap_assoc,150
